resume_text,job_description,match_score,match_label
"Data Analyst with 8 years of experience in Cybersecurity, FastAPI, Java and C++. Worked on enterprise applications and delivered scalable solutions.","Looking for a Data Analyst at a growing company. Required skills: Cybersecurity, FastAPI, Java, Linux. Experience with team collaboration preferred.",0.91,high
"Frontend Developer with 7 years of experience in Linux, Python, Java and React. Worked on enterprise applications and delivered scalable solutions.","Looking for a Frontend Developer at a growing company. Required skills: Linux, Python, Java, Pandas. Experience with team collaboration preferred.",0.72,medium
,"Looking for a Product Manager at a growing company. Required skills: Linux, Kubernetes, React, Leadership. Experience with team collaboration preferred.",0.62,high
"Java Developer with 2 years of experience in NLP, FastAPI, Git and TensorFlow. Worked on enterprise applications and delivered scalable solutions.","Looking for a Java Developer at a growing company. Required skills: NLP, FastAPI, Git, NLP. Experience with team collaboration preferred.",0.91,high
"AI Engineer with 4 years of experience in Cybersecurity, Machine Learning, Linux and Communication. Worked on enterprise applications and delivered scalable solutions.","Looking for a AI Engineer at a growing company. Required skills: Cybersecurity, Machine Learning, Linux, Power BI. Experience with team collaboration preferred.",0.69,medium
"Cloud Engineer with 8 years of experience in Power BI, Git, SQL and NLP. Worked on enterprise applications and delivered scalable solutions.","Looking for a Cloud Engineer at a growing company. Required skills: Power BI, Git, SQL, Machine Learning. Experience with team collaboration preferred.",0.8,medium
"Backend Developer with 2 years of experience in FastAPI, Leadership, Docker and C++. Worked on enterprise applications and delivered scalable solutions.","Looking for a Backend Developer at a growing company. Required skills: FastAPI, Leadership, Docker, FastAPI. Experience with team collaboration preferred.",0.69,medium
"Sales Manager with 10 years of experience in Node.js, Python, Docker and SQL. Worked on enterprise applications and delivered scalable solutions.","Looking for a Sales Manager at a growing company. Required skills: Node.js, Python, Docker, Git. Experience with team collaboration preferred.",0.79,medium
,"Looking for a Product Manager at a growing company. Required skills: Power BI, Java, React, Machine Learning. Experience with team collaboration preferred.",0.85,high
"Business Analyst with 10 years of experience in SQL, Kubernetes, Pandas and Docker. Worked on enterprise applications and delivered scalable solutions.","Looking for a Business Analyst at a growing company. Required skills: SQL, Kubernetes, Pandas, Linux. Experience with team collaboration preferred.",0.46,low
"Sales Manager with 5 years of experience in FastAPI, NLP, Power BI and SQL. Worked on enterprise applications and delivered scalable solutions.","Looking for a Sales Manager at a growing company. Required skills: FastAPI, NLP, Power BI, Docker. Experience with team collaboration preferred.",0.74,medium
"Business Analyst with 8 years of experience in Java, Linux, Machine Learning and Cybersecurity. Worked on enterprise applications and delivered scalable solutions.","Looking for a Business Analyst at a growing company. Required skills: Java, Linux, Machine Learning, NLP. Experience with team collaboration preferred.",0.49,low
,"Looking for a Business Analyst at a growing company. Required skills: React, Kubernetes, Pandas, Node.js. Experience with team collaboration preferred.",0.47,low
"DevOps Engineer with 7 years of experience in Node.js, Power BI, TensorFlow and SQL. Worked on enterprise applications and delivered scalable solutions.","Looking for a DevOps Engineer at a growing company. Required skills: Node.js, Power BI, TensorFlow, Machine Learning. Experience with team collaboration preferred.",0.79,medium
"CLOUD ENGINEER WITH 9 YEARS OF EXPERIENCE IN LEADERSHIP, C++, KUBERNETES AND FASTAPI. WORKED ON ENTERPRISE APPLICATIONS AND DELIVERED SCALABLE SOLUTIONS.    ","Looking for a Cloud Engineer at a growing company. Required skills: Leadership, C++, Kubernetes, React. Experience with team collaboration preferred.",0.82,medium
"AI Engineer with 1 years of experience in FastAPI, Docker, Pandas and Node.js. Worked on enterprise applications and delivered scalable solutions.","Looking for a AI Engineer at a growing company. Required skills: FastAPI, Docker, Pandas, NLP. Experience with team collaboration preferred.",0.83,medium
"Backend Developer with 6 years of experience in TensorFlow, Kubernetes, Pandas and Git. Worked on enterprise applications and delivered scalable solutions.","Looking for a Backend Developer at a growing company. Required skills: TensorFlow, Kubernetes, Pandas, Pandas. Experience with team collaboration preferred.",0.84,medium
"Java Developer with 4 years of experience in Docker, Linux, React and Leadership. Worked on enterprise applications and delivered scalable solutions.","Looking for a Java Developer at a growing company. Required skills: Docker, Linux, React, Docker. Experience with team collaboration preferred.",99.0,high
,"Looking for a Python Developer at a growing company. Required skills: Node.js, Machine Learning, C++, Linux. Experience with team collaboration preferred.",0.66,medium
"Java Developer with 1 years of experience in TensorFlow, Power BI, Linux and Leadership. Worked on enterprise applications and delivered scalable solutions.","Looking for a Java Developer at a growing company. Required skills: TensorFlow, Power BI, Linux, Git. Experience with team collaboration preferred.",99.0,low
"Business Analyst with 9 years of experience in Power BI, Docker, Cybersecurity and React. Worked on enterprise applications and delivered scalable solutions.","Looking for a Business Analyst at a growing company. Required skills: Power BI, Docker, Cybersecurity, Leadership. Experience with team collaboration preferred.",0.98,low
"AI Engineer with 4 years of experience in SQL, Leadership, Power BI and AWS. Worked on enterprise applications and delivered scalable solutions.","Looking for a AI Engineer at a growing company. Required skills: SQL, Leadership, Power BI, Python. Experience with team collaboration preferred.",0.65,medium
"Cloud Engineer with 6 years of experience in NLP, React, SQL and Power BI. Worked on enterprise applications and delivered scalable solutions.","Looking for a Cloud Engineer at a growing company. Required skills: NLP, React, SQL, Node.js. Experience with team collaboration preferred.",0.54,low
"Healthcare Analyst with 3 years of experience in Machine Learning, TensorFlow, Node.js and React. Worked on enterprise applications and delivered scalable solutions.","Looking for a Healthcare Analyst at a growing company. Required skills: Machine Learning, TensorFlow, Node.js, SQL. Experience with team collaboration preferred.",0.61,low
"FRONTEND DEVELOPER WITH 1 YEARS OF EXPERIENCE IN PANDAS, PYTHON, POWER BI AND GIT. WORKED ON ENTERPRISE APPLICATIONS AND DELIVERED SCALABLE SOLUTIONS.    ","Looking for a Frontend Developer at a growing company. Required skills: Pandas, Python, Power BI, Machine Learning. Experience with team collaboration preferred.",0.83,medium
