resume_text,job_description,match_score,match_label,match_label_lower,resume_len,jd_len
"Data Analyst with 8 years of experience in Cybersecurity, FastAPI, Java and C++. Worked on enterprise applications and delivered scalable solutions.","Looking for a Data Analyst at a growing company. Required skills: Cybersecurity, FastAPI, Java, Linux. Experience with team collaboration preferred.",0.91,high,high,21,20
"Frontend Developer with 7 years of experience in Linux, Python, Java and React. Worked on enterprise applications and delivered scalable solutions.","Looking for a Frontend Developer at a growing company. Required skills: Linux, Python, Java, Pandas. Experience with team collaboration preferred.",0.72,medium,medium,21,20
"Java Developer with 2 years of experience in NLP, FastAPI, Git and TensorFlow. Worked on enterprise applications and delivered scalable solutions.","Looking for a Java Developer at a growing company. Required skills: NLP, FastAPI, Git, NLP. Experience with team collaboration preferred.",0.91,high,high,21,20
"AI Engineer with 4 years of experience in Cybersecurity, Machine Learning, Linux and Communication. Worked on enterprise applications and delivered scalable solutions.","Looking for a AI Engineer at a growing company. Required skills: Cybersecurity, Machine Learning, Linux, Power BI. Experience with team collaboration preferred.",0.69,medium,medium,22,22
"Cloud Engineer with 8 years of experience in Power BI, Git, SQL and NLP. Worked on enterprise applications and delivered scalable solutions.","Looking for a Cloud Engineer at a growing company. Required skills: Power BI, Git, SQL, Machine Learning. Experience with team collaboration preferred.",0.8,medium,medium,22,22
"Backend Developer with 2 years of experience in FastAPI, Leadership, Docker and C++. Worked on enterprise applications and delivered scalable solutions.","Looking for a Backend Developer at a growing company. Required skills: FastAPI, Leadership, Docker, FastAPI. Experience with team collaboration preferred.",0.69,medium,medium,21,20
"Sales Manager with 10 years of experience in Node.js, Python, Docker and SQL. Worked on enterprise applications and delivered scalable solutions.","Looking for a Sales Manager at a growing company. Required skills: Node.js, Python, Docker, Git. Experience with team collaboration preferred.",0.79,medium,medium,21,20
"Business Analyst with 10 years of experience in SQL, Kubernetes, Pandas and Docker. Worked on enterprise applications and delivered scalable solutions.","Looking for a Business Analyst at a growing company. Required skills: SQL, Kubernetes, Pandas, Linux. Experience with team collaboration preferred.",0.46,low,low,21,20
"Sales Manager with 5 years of experience in FastAPI, NLP, Power BI and SQL. Worked on enterprise applications and delivered scalable solutions.","Looking for a Sales Manager at a growing company. Required skills: FastAPI, NLP, Power BI, Docker. Experience with team collaboration preferred.",0.74,medium,medium,22,21
"Business Analyst with 8 years of experience in Java, Linux, Machine Learning and Cybersecurity. Worked on enterprise applications and delivered scalable solutions.","Looking for a Business Analyst at a growing company. Required skills: Java, Linux, Machine Learning, NLP. Experience with team collaboration preferred.",0.49,low,low,22,21
"DevOps Engineer with 7 years of experience in Node.js, Power BI, TensorFlow and SQL. Worked on enterprise applications and delivered scalable solutions.","Looking for a DevOps Engineer at a growing company. Required skills: Node.js, Power BI, TensorFlow, Machine Learning. Experience with team collaboration preferred.",0.79,medium,medium,22,22
"CLOUD ENGINEER WITH 9 YEARS OF EXPERIENCE IN LEADERSHIP, C++, KUBERNETES AND FASTAPI. WORKED ON ENTERPRISE APPLICATIONS AND DELIVERED SCALABLE SOLUTIONS.    ","Looking for a Cloud Engineer at a growing company. Required skills: Leadership, C++, Kubernetes, React. Experience with team collaboration preferred.",0.82,medium,medium,21,20
"AI Engineer with 1 years of experience in FastAPI, Docker, Pandas and Node.js. Worked on enterprise applications and delivered scalable solutions.","Looking for a AI Engineer at a growing company. Required skills: FastAPI, Docker, Pandas, NLP. Experience with team collaboration preferred.",0.83,medium,medium,21,20
"Backend Developer with 6 years of experience in TensorFlow, Kubernetes, Pandas and Git. Worked on enterprise applications and delivered scalable solutions.","Looking for a Backend Developer at a growing company. Required skills: TensorFlow, Kubernetes, Pandas, Pandas. Experience with team collaboration preferred.",0.84,medium,medium,21,20
"Business Analyst with 9 years of experience in Power BI, Docker, Cybersecurity and React. Worked on enterprise applications and delivered scalable solutions.","Looking for a Business Analyst at a growing company. Required skills: Power BI, Docker, Cybersecurity, Leadership. Experience with team collaboration preferred.",0.98,low,low,22,21
"AI Engineer with 4 years of experience in SQL, Leadership, Power BI and AWS. Worked on enterprise applications and delivered scalable solutions.","Looking for a AI Engineer at a growing company. Required skills: SQL, Leadership, Power BI, Python. Experience with team collaboration preferred.",0.65,medium,medium,22,21
"Cloud Engineer with 6 years of experience in NLP, React, SQL and Power BI. Worked on enterprise applications and delivered scalable solutions.","Looking for a Cloud Engineer at a growing company. Required skills: NLP, React, SQL, Node.js. Experience with team collaboration preferred.",0.54,low,low,22,20
"Healthcare Analyst with 3 years of experience in Machine Learning, TensorFlow, Node.js and React. Worked on enterprise applications and delivered scalable solutions.","Looking for a Healthcare Analyst at a growing company. Required skills: Machine Learning, TensorFlow, Node.js, SQL. Experience with team collaboration preferred.",0.61,low,low,22,21
"FRONTEND DEVELOPER WITH 1 YEARS OF EXPERIENCE IN PANDAS, PYTHON, POWER BI AND GIT. WORKED ON ENTERPRISE APPLICATIONS AND DELIVERED SCALABLE SOLUTIONS.    ","Looking for a Frontend Developer at a growing company. Required skills: Pandas, Python, Power BI, Machine Learning. Experience with team collaboration preferred.",0.83,medium,medium,22,22
"PRODUCT MANAGER WITH 5 YEARS OF EXPERIENCE IN REACT, AWS, PANDAS AND POWER BI. WORKED ON ENTERPRISE APPLICATIONS AND DELIVERED SCALABLE SOLUTIONS.    ","Looking for a Product Manager at a growing company. Required skills: React, AWS, Pandas, Power BI. Experience with team collaboration preferred.",0.77,medium,medium,22,21
"UI/UX Designer with 4 years of experience in Leadership, TensorFlow, SQL and Pandas. Worked on enterprise applications and delivered scalable solutions.","Looking for a UI/UX Designer at a growing company. Required skills: Leadership, TensorFlow, SQL, Communication. Experience with team collaboration preferred.",0.47,low,low,21,20
"ML Engineer with 5 years of experience in Linux, SQL, NLP and AWS. Worked on enterprise applications and delivered scalable solutions.","Looking for a ML Engineer at a growing company. Required skills: Linux, SQL, NLP, C++. Experience with team collaboration preferred.",0.97,high,high,21,20
"BUSINESS ANALYST WITH 10 YEARS OF EXPERIENCE IN PANDAS, PYTHON, C++ AND NODE.JS. WORKED ON ENTERPRISE APPLICATIONS AND DELIVERED SCALABLE SOLUTIONS.    ","Looking for a Business Analyst at a growing company. Required skills: Pandas, Python, C++, Python. Experience with team collaboration preferred.",0.55,low,low,21,20
"ML Engineer with 4 years of experience in Communication, Power BI, Leadership and Node.js. Worked on enterprise applications and delivered scalable solutions.","Looking for a ML Engineer at a growing company. Required skills: Communication, Power BI, Leadership, TensorFlow. Experience with team collaboration preferred.",0.62,low,low,22,21
"Product Manager with 5 years of experience in C++, Leadership, SQL and Kubernetes. Worked on enterprise applications and delivered scalable solutions.","Looking for a Product Manager at a growing company. Required skills: C++, Leadership, SQL, Java. Experience with team collaboration preferred.",0.63,low,low,21,20
"Cybersecurity Analyst with 5 years of experience in React, C++, TensorFlow and Leadership. Worked on enterprise applications and delivered scalable solutions.","Looking for a Cybersecurity Analyst at a growing company. Required skills: React, C++, TensorFlow, Pandas. Experience with team collaboration preferred.",0.85,high,high,21,20
"Sales Manager with 9 years of experience in Kubernetes, Leadership, AWS and Linux. Worked on enterprise applications and delivered scalable solutions.","Looking for a Sales Manager at a growing company. Required skills: Kubernetes, Leadership, AWS, C++. Experience with team collaboration preferred.",0.7,medium,medium,21,20
"Product Manager with 10 years of experience in Machine Learning, AWS, Linux and Python. Worked on enterprise applications and delivered scalable solutions.","Looking for a Product Manager at a growing company. Required skills: Machine Learning, AWS, Linux, Node.js. Experience with team collaboration preferred.",0.59,low,low,22,21
"Backend Developer with 10 years of experience in TensorFlow, Node.js, Java and Python. Worked on enterprise applications and delivered scalable solutions.","Looking for a Backend Developer at a growing company. Required skills: TensorFlow, Node.js, Java, FastAPI. Experience with team collaboration preferred.",0.65,medium,medium,21,20
"DevOps Engineer with 4 years of experience in Cybersecurity, C++, NLP and Machine Learning. Worked on enterprise applications and delivered scalable solutions.","Looking for a DevOps Engineer at a growing company. Required skills: Cybersecurity, C++, NLP, React. Experience with team collaboration preferred.",0.47,low,low,22,20
"Python Developer with 4 years of experience in React, Node.js, Machine Learning and TensorFlow. Worked on enterprise applications and delivered scalable solutions.","Looking for a Python Developer at a growing company. Required skills: React, Node.js, Machine Learning, Machine Learning. Experience with team collaboration preferred.",0.72,medium,medium,22,22
"Product Manager with 2 years of experience in Node.js, NLP, Docker and Git. Worked on enterprise applications and delivered scalable solutions.","Looking for a Product Manager at a growing company. Required skills: Node.js, NLP, Docker, Python. Experience with team collaboration preferred.",0.92,high,high,21,20
